"code","name","OLCU_BR1","price","price2","NAKLIYET_TUT","KDV_ORANI","BARKOD1","BARKOD2","BARKOD3","ALIS_KDV_KODU","ALIS_FIAT1","ALIS_FIAT2","ALIS_FIAT3","ALIS_FIAT4"
"110570003965","""JUNIOR YAĞLI BOYA FIRÇASI NO1,5""","AD","20.30000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570003972","JUNIOR YAĞLI BOYA FIRÇASI NO2","AD","33.80000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570003989","""JUNIOR YAĞLI BOYA FIRÇASI NO2,5""","AD","30.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570003996","JUNIOR YAĞLI BOYA FIRÇASI NO3","AD","63.20000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570004009","JUNIOR YAĞLI BOYA FIRÇASI NO4","AD","63.20000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570010192","BRANDA ÖRTÜ 50 M2","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570010208","BRANDA ÖRTÜ 8 M2","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570010215","BRANDA ÖRTÜ 12 M2","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570010222","BRANDA ÖRTÜ 16 M2","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570010239","BRANDA ÖRTÜ 20 M2","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570010246","HIŞIR ÖRTÜ 10 M2","AD","19.40000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570010253","HIŞIR ÖRTÜ 20 M2","AD","31.60000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570010260","HIŞIR ÖRTÜ 32 M2","AD","43.55000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570010277","HIŞIR ÖRTÜ 50 M2","AD","65.33000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570010666","BRANDA ÖRTÜ 32 M2","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570010710","PARMAK RULO 5 CM","AD","17.70000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570011120","15 CM RULO","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570011779","20 CM EPOKSİ RULO","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570012226","25 CM GÖKKUŞAĞI SATEN RULO","AD","45.30000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"110570012448","25 CM EPOKSİ RULO","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115*350MAX","115*350 SDS MAX MATKAP UCU HİTACHİ","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115*36","115*36 FİBER DİSK ZIMPARA","AD","12.41000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115*40","115*40 FİBER DİSK ZIMPARA","AD","10.87000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115*60","115*60 FİBER DİSK ZIMPARA","AD","10.68000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115*6EGESAN","115*6*22 İNOX METAL TAŞLAMA TAŞI","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115*80","115*80 FİBER DİSK ZIMPARA","AD","8.98750000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115DİSK","115 LİK FİBER DİSK ALTI","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115X120EGESAN","115*120 FLAP ZIMPARA EGELİ","AD","39.36000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115x1EGE","115*1 EGESAN KESME TAŞI","AD","11.34000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115X3EGE","115*3 EGESAN KESME TAŞI","AD","18.10000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115X40EGESAN","115*40 FLAP ZIMPARA EGELİ","AD","39.36000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115X40EGESANPRO","115*40 EGESAN FLAP ZIMPARA PRO","AD","47.22000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115X40NKEGESAN","115*40 NK FLAP ZIMPARA EGELİ KIRMIZI","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115X60EGESAN","115*60 FLAP ZIMPARA EGELİ","AD","39.36000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115X60EGESANPRO","115*60 EGESAN FLAP ZIMPARA PRO","AD","47.22000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115X6EGE","115*6 EGESAN TAŞLAMA TAŞI","AD","30.86000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115X80EGESAN","115*80 FLAP ZIMPARA EGELİ","AD","39.36000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"115X80EGESANPRO","115*80 EGESAN FLAP ZIMPARA PRO","AD","47.22000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"125X40DDB","125X40 DDB DÖKÜM YEDEK TEKER","AD","72.75000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"12B1ZİNC","12B-1 (3/4) ZİNCİR","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"12X100 4NOAYAK","M12X100 OYNAR AYAK","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"13*260SDSPLUS","13*260 MM SDS PLUS MATKAP UCU","AD","NULL","NULL","0.00000000","20.00","NULL","NULL","NULL","20.00","NULL","NULL","NULL","NULL"
"14340MAX","14*340 SDS MAX MATKAP UCU","AD","5.67000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"14600SDS","14*600 SDS PLUS MATKAP UCU","AD","4.80000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"14906220060","""İZELTAŞ 2,5MM YUV. BAŞ. UZUN L ALLEN ANAHTAR""","AD","56.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"14ÇELİKSAPAN","14MM ÖRME ÇELİK SAPAN","AD","490.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"15*160SDSPLUS","15*160 SDS PLUS MATKAP UCU","AD","NULL","NULL","0.00000000","20.00","NULL","NULL","NULL","20.00","NULL","NULL","NULL","NULL"
"15*210SDSPLUS","15*210 SDS PLUS MATKAP UCU","AD","NULL","NULL","0.00000000","20.00","NULL","NULL","NULL","20.00","NULL","NULL","NULL","NULL"
"16340MAX","16*340 SDS MAX MATKAP UCU","AD","6.30000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"16540MAX","16*540 SDS MAX MATKAP UCU","AD","9.50000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1673GRES","SPEEDOL CSG KAUCUKLU GRES 4 KG","AD","648.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1674GRES","SPEEDOL CSG BEYAZ GRES 4 KG","AD","648.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1675GRES","SPEEDOL CSG KIRMIZI GRES 900 GR","AD","175.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1676GRES","SPEEDOL CSG KAUÇUKLU GRES 900 GR","AD","175.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1677GRES","SPEEDOL LSG EPX GRES 900 GR","AD","175.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1680","ANTİFREEZE MAVİ F6 READY TO USE -56 İNORG 3 LT","AD","390.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1681","ANTİFREEZE KIRMIZI F6 READY TO USE -56 ORG 3 LT","AD","390.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1682","ANTİFREEZE KIRMIZI F6 READY TO USE -56 ORG. 1 LT","AD","195.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1684","ANTİFREEZE MAVİ F6 READY TO USE -56 İNORG. 1 LT","AD","195.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1686","F6 SPD 40 PLUS YAĞLAYICI 400 ML","AD","24.15000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1687","GEMAOİL CALİMAX GRES 3 15 KG","AD","1168.70000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1688","GEMAOİL GREENAX GRES 3 14 KG","AD","834.67000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1689","GEMAİL ROLİNAX GRES 3 14 KG","AD","834.67000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1690BORYAĞ","1790 SPEEDOL BOR YAĞI 20 LT","AD","4275.40000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1691","""GEMAOİL ROLİNAX GRES 3-3,75 KG""","AD","82.62500000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1692","GEMAOİL HYDRO HLP 46","AD","396.08750000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1693","KROSS HYDRO S-68 14 KG","AD","396.08750000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"17*200SDSPLUS","17*200 SDS PLUS MATKAP UCU","AD","NULL","NULL","0.00000000","20.00","NULL","NULL","NULL","20.00","NULL","NULL","NULL","NULL"
"1700MTB050","1700 MTB 050","AD","40.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1700MTB050F18","1700 MTB 050 F18","AD","60.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1701MTB050","1701 MTB 050 TEKER","AD","45.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1701MTB050F","1701 MTB 050 F18 TEKER","AD","70.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1702MTB050","1702 MTB 050 TEKER","AD","1.59000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1702MTB050F04","1702 MTB 050 F4 TEKER","AD","2.36000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1702MTB075","1702 MTB 075 TEKER","AD","1.94000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1702MTB075F04","1702 MTB 075 F04 TEKER","AD","2.93000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1707MTB050","1707 MTB 050 TEKER","AD","0.78000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1707MTB075","1707 MTB 075 TEKER","AD","1.40000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"17647101421","VARTA WORK FELX POCKET LIGHT","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"17648101421","VARTA WORK FLEX AREA LIGHT","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1783","SPEEDOL CSG SARI GRES 14 KG","AD","1168.70000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1786","SPEEDOL CSG KIRMIZI GRES NO:3 14 KG","AD","834.67000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
